puzzle,category,date
THE AMERICAN MUSIC AWARDS,Event,11/17/04
SISTER ACT OF KINDNESS,Before & After,11/18/04
HOT APPLE FRITTERS WITH POWDERED SUGAR ON TOP,On The Menu,11/18/04
WHITE BENGAL TIGER CUB,Living Thing,11/18/04
FISHING FOR BLUE MARLIN,Fun & Games,11/19/04
THOUGHTFUL BIRTHDAY GIFTS,Things,11/19/04
JUST WAIT TILL YOUR FATHER GETS HOME FRIES,Before & After,11/19/04
SECOND COUSINS ONCE REMOVED,People,11/19/04
SURF'S & THUMBS UP,Same Name,11/22/04
SECRETARY OF COMMERCE,Person,11/22/04
HAVING YOUR TONSILS TAKEN OUT OF TOWN,Before & After,11/23/04
BILLIONAIRE BILL GATES,Proper Name,11/23/04
INNER TUBE TOP,Before & After,11/24/04
TOM SELLECK AS MAGNUM P.I.,Classic Tv,11/24/04
HOLIDAY TURKEY GETS PRESIDENTIAL PARDON,Event,11/24/04
A FITTING SEND-OFF,Phrase,11/24/04
SALSA DANCING LESSON,Event,11/25/04
AMERICA'S CUP YACHT RACE,Fun & Games,11/25/04
CREAMY RANCH DRESSING ROOM,Before & After,11/25/04
STARTING SALARY,Thing,11/25/04
COUNTY COMMISSIONER,Occupation,11/26/04
BEING KNIGHTED BY QUEEN ELIZABETH,Event,11/26/04
POSTCARD COLLECTION,Around The House,11/26/04
JOSHUA TREE NATIONAL PARK,Landmark,11/29/04
LONGTIME LISTENER FIRST-TIME CALLER,Person,11/29/04
UNDER THE BOARDWALK DOWN BY THE SEA,Song Lyrics,11/29/04
TENNIS INSTRUCTOR,Occupation,11/29/04
A CLOSE CONTEST,Thing,11/29/04
EXPLORER CHIRSTOPHER COLUMBUS,Proper Name,11/30/04
IF YOU'RE HAPPY AND YOU KNOW IT CLAP YOUR HANDS,Song Lyrics,11/30/04
IT'S AS SIMPLE AS THAT,Phrase,11/30/04
OCEANFRONT PROPERTY,Place,11/30/04
THE FRESH PRINCE OF BEL-AIR,Classic Tv,12/1/04
ROSEMARY ROTISSERIE CHICKEN,On The Menu,12/1/04
AN OVERNIGHT SUCCESS,Thing,12/1/04
LOS ANGELES & HEDGE CLIPPERS,Same Name,12/2/04
AUTOMATIC TELLER MACHINE WASHABLE,Before & After,12/2/04
COLLECTOR'S EDITION DVD,Show Biz,12/2/04
HALF MARATHON,Event,12/2/04
EXTRA-FIRM PILLOWS,Around The House,12/3/04
DIGGING YOUR TOES INTO THE SAND,Fun & Games,12/3/04
GOVERNOR ARNOLD SCHWARZENEGGER,Proper Name,12/3/04
I'M COUNTING THE MINUTES,Phrase,12/3/04
TURN THAT FROWN UPSIDE DOWN,Rhyme Time,12/6/04
CLASSIC COMPOSER MOZART,Proper Name,12/6/04
FIDDLER ON THE ROOF OF MY MOUTH,Before & After,12/6/04
OUTDOOR SKATING RINK,Place,12/6/04
PLAID FLANNEL PAJAMAS,Around The House,12/7/04
FAITH & BLUEBERRY HILL,Same Name,12/7/04
UNIVERSITY OF MINNESOTA,Proper Name,12/7/04
CREAM OF MUSHROOM SOUP,On The Menu,12/8/04
LAUGHING ALL THE WAY TO THE BANK,Phrase,12/8/04
MILD-MANNERED REPORTER CLARK KENT,Fictional Character,12/8/04
THE HORSE WHISPERER,Best Seller,12/8/04
BAVARIAN ALPS,On The Map,12/8/04
STRUMMING A UKULELE,Fun & Games,12/9/04
FOR ALL INTENTS AND PURPOSES,Phrase,12/9/04
DIVINE SECRETS OF THE YA-YA SISTERHOOD,Best Seller,12/9/04
NATURE PHOTOGRAPHER,Occupation,12/9/04
WARMING YOUR HANDS BY THE FIRE,Event,12/10/04
THE INTERNATIONAL DATE LINE,On The Map,12/10/04
JOLLY GREEN GIANT SLALOM RACE,Before & After,12/10/04
SHARE AND SHARE ALIKE,Phrase,12/10/04
MAIL-ORDER CATALOG,Around The House,12/13/04
PROFESSIONAL BOWLERS ASSOCIATION,Proper Name,12/13/04
AND SHE'S BUYING A STAIRWAY TO HEAVEN,Song Lyrics,12/13/04
WILLIAM TELL OVERTURE,Title,12/13/04
THE PRINCESS DIARIES,Title,12/14/04
LOVE ME & LEGAL TENDER,Same Name,12/14/04
BRIGHT YELLOW HIBISCUS FLOWERS,Living Things,12/14/04
FREE SHIPPING AND HANDLING,Phrase,12/14/04
E.T. PHONE HOME DEPOT,Before & After,12/15/04
SOUTH OF THE BORDER,Phrase,12/15/04
CURSE BROKEN AS BOSTON RED SOX WIN WORLD SERIES,Headline,12/15/04
THE ROLE OF A LIFETIME,Show Biz,12/15/04
FARMERS MARKET,Place,12/15/04
SUNSET CATAMARAN CRUISE,Fun & Games,12/16/04
FASHION DESIGNER RALPH LAUREN,Proper Name,12/16/04
HOW MUCH IS THAT DOGGIE IN THE WINDOW?,Song Lyrics,12/16/04
AUSTRALIAN SHEPHERD,Living Thing,12/16/04
NEW YORK'S FIFTH AVENUE,On The Map,12/17/04
REGULAR VIEWERS,People,12/17/04
LIKE A BOWLFUL OF JELLY,Quotation,12/20/04
IT'S A WONDERFUL LIFE INSURANCE POLICY,Before & After,12/20/04
CREDIT CARD STATEMENT,Around The House,12/20/04
NEIGHBORHOOD CAROLERS,People,12/20/04
MALIBU BARBIE,Fun & Games,12/20/04
HORSE-DRAWN SLEIGH,Thing,12/21/04
VICTORIA'S SECRET SANTA,Before & After,12/21/04
LEARNING A FEW SPANISH PHRASES,Event,12/21/04
BUSTING THE BUDGET,Phrase,12/21/04
ANCIENT WORKS OF ART,Things,12/22/04
GINGERBREAD HOUSE ARREST,Before & After,12/22/04
THE FEEL-GOOD MOVIE OF THE YEAR,Show Biz,12/22/04
STOCKING STUFFERS,Around The House,12/22/04
STEEL WOOL SLACKS,Before & After,12/23/04
POTATO PANCAKES WITH APPLESAUCE,On The Menu,12/23/04
BLINKING MULTI-COLORED LIGHTS,Things,12/23/04
SEVEN SWANS A-SWIMMING,Living Things,12/23/04
CHASING AWAY THE WINTER BLUES,Phrase,12/24/04
HE'S MAKING A LIST AND CHECKING IT TWICE,Song Lyrics,12/24/04
RADIO CITY ROCKETTES,Proper Name,12/24/04
THANK-YOU NOTES,Around The House,12/24/04
TRADITIONAL LUAU FEAST,Event,12/27/04
CREPE PAPER STREAMERS,Things,12/27/04
THE ACADEMY AWARD FOR BEST COSTUME DESIGN,Show Biz,12/27/04
THE PORT OF AMSTERDAM,On The Map,12/27/04
CONGA & FINISHING LINE,Same Name,12/28/04
EXTREME MAKEOVER: HOME EDITION,Title,12/28/04
COMPUTER ANIMATION,Show Biz,12/28/04
STAINLESS STEEL ICE BUCKET,Around The House,12/29/04
MISERY LOVES COMPANY PICNICS,Before & After,12/29/04
BREASTSTROKE BACKSTROKE SIDESTROKE & DOG PADDLE,Fun & Games,12/29/04
GIRL WITH A PEARL EARRING,Best Seller,12/29/04
HIT THE ROAD JACK FROST,Before & After,12/30/04
YOU ARE CORDIALLY INVITED,Phrase,12/30/04
FIRST DAUGHTERS JENNA & BARBARA BUSH,Family,12/30/04
THE EVENING'S ENTERTAINMENT,Show Biz,12/30/04
GEORGE FOREMAN GRILL,Around The House,12/30/04
BACON WRAPPED SCALLOPS,On The Menu,12/31/04
CELEBRATION BY KOOL & THE GANG,Song/Artist,12/31/04
WE'LL BE RIGHT BACK AFTER THESE MESSAGES,Show Biz,12/31/04
CENTIPEDES & MILLIPEDES,Living Things,12/31/04
PORK SHOULDER PADS,Before & After,1/3/05
ARCHIE PEYTON & ELI MANNING,Family,1/3/05
TOM BROKAW RETIRES FROM NBC NIGHTLY NEWS DESK,Headline,1/3/05
DARK-ROASTED COFFEE BEANS,Things,1/4/05
LINGERIE & ROLE MODEL,Same Name,1/4/05
DON'T FORGET TO WASH BEHIND YOUR EARS,Phrase,1/4/05
LITTLE ROCK ARKANSAS,On The Map,1/4/05
HALFTIME SHOW AND TELL,Before & After,1/5/05
SPORTS ILLUSTRATED'S SPORTSMAN OF THE YEAR,Person,1/5/05
PARKING LOT ATTENDANT,Occupation,1/5/05
SKIPPER FIRST MATE & SECOND MATE,People,1/6/05
PUNT RETURN OF THE JEDI,Before & After,1/6/05
TENDER SLOW-COOKED BABY BACK RIBS,On The Menu,1/6/05
CRUNCHY PEANUT BUTTER,Around The House,1/6/05
ARE YOU READY FOR SOME FOOTBALL?,Quotation,1/7/05
BORN TO RUN BY BRUCE SPRINGSTEEN,Song/Artist,1/7/05
MALCOLM IN THE MIDDLE LINEBACKER POSITION,Before & After,1/7/05
CLIMBING MOUNT EVEREST,Fun & Games,1/10/05
DIRECTOR OF CENTRAL INTELLIGENCE,Person,1/10/05
CONSTITUTIONAL AMENDMENT,Thing,1/10/05
GHOSTBUSTERS,Title,1/10/05
BRIDAL & METEOR SHOWER,Same Name,1/11/05
OUT OF THE FRYING PAN INTO THE FIRE,Phrase,1/11/05
TRAINED PROFESSIONALS,People,1/11/05
RECHARGEABLE SHAVER,Around The House,1/11/05
AFRICA'S VICTORIA FALLS,Landmark,1/12/05
DANGER IS MY MIDDLE NAME,Phrase,1/12/05
IT'S RAINING IT'S POURING THE OLD MAN IS SNORING,Song Lyrics,1/12/05
BLACKENED CATFISH FILLET,On The Menu,1/12/05
THE PERFECT STORM,Title,1/12/05
DON'T TRY THIS AT HOME,Phrase,1/13/05
REVENGE IS SWEET AND SOUR CHICKEN,Before & After,1/13/05
THE LION SLEEPS TONIGHT,Title,1/13/05
DESPERATE HOUSEWIVES,Title,1/14/05
CALYPSO SINGER HARRY BELAFONTE,Proper Name,1/14/05
AND HERE'S TO YOU MRS. ROBINSON CRUSOE,Before & After,1/14/05
TROPHY PRESENTATION,Event,1/14/05
DISTRICT ATTORNEY,Person,1/14/05
FRESH FOUR CHEESE RAVIOLI,On The Menu,1/17/05
NIGHTLY TURNDOWN SERVICE,Event,1/17/05
MARCHING TO THE BEAT OF A DIFFERENT DRUMMER,Phrase,1/17/05
UNDER THE TUSCAN SUN,Best Seller,1/17/05
TOP FORTY COUNTDOWN,Show Biz,1/18/05
WHEN PIGS FLY FIRST CLASS,Before & After,1/18/05
PARDON THE INTERRUPTION,Phrase,1/18/05
MAJESTIC MEDIEVAL CASTLE,Place,1/19/05
SINGER & SONGWRITER WILLIE NELSON,Proper Name,1/19/05
ALWAYS LOOK ON THE BRIGHT SIDE OF BACON,Before & After,1/19/05
PLUSH COTTON TOWELS,Around The House,1/20/05
MADISON SQUARE & OLIVE GARDEN,Same Name,1/20/05
AT A MOMENT'S NOTICE,Phrase,1/20/05
PRIME AGED PORTERHOUSE STEAK,On The Menu,1/21/05
FAMOUS RENAISSANCE ARTISTS,People,1/21/05
HOW TO WIN FRIENDS & INFLUENCE PEOPLE,Best Seller,1/21/05
VARIABLE SPEED DRILL,Around The House,1/21/05
ITALIAN & DRY ICE,Same Name,1/24/05
MIGRATING HUMPBACK & GRAY WHALES,Living Things,1/24/05
IF AT FIRST YOU DON'T SUCCEED TRY TRY AGAIN,Phrase,1/24/05
PARADISE ISLAND,On The Map,1/24/05
KENNEDY SPACE CENTER,Landmark,1/25/05
PHYSICAL & AIR CONDITIONING,Same Name,1/25/05
IT DOESN'T HURT TO TRY,Phrase,1/25/05
COME ON IN THE WATER'S FINE,Phrase,1/26/05
USED ONLY AS DIRECTED BY STEVEN SPIELBERG,Before & After,1/26/05
HISTORIC LIGHTHOUSE,Place,1/26/05
TINY BUBBLES BY DON HO,Song/Artist,1/27/05
NEWLYWEDS: NICK & JESSICA,Title,1/27/05
MY EARS ARE BURNING DOWN THE HOUSE,Before & After,1/27/05
SCHOOL FIGHT SONG,Thing,1/27/05
BOYS & GIRLS CLUB OF AMERICA,Proper Name,1/28/05
IT'S NOT THE HEAT IT'S THE HUMIDITY,Phrase,1/28/05
SCUBA DIVING TO A SUNKEN SHIPWRECK,Fun & Games,1/28/05
AIR FORCE RECRUITER,Occupation,1/28/05
VIDEO GAME DESIGNER,Occupation,1/31/05
FISH STICKS AND STONES,Before & After,1/31/05
THE BUDDY & DEWEY DECIMAL SYSTEM,Same Name,1/31/05
BATTLE OF THE BANDS,Event,1/31/05
A PLATE OF CHEESY NACHOS,On The Menu,2/1/05
EXPIRATION & STUDY DATE,Same Name,2/1/05
SEA TURTLES CROCODILES & MANATEES,Living Things,2/1/05
NATIONAL MERIT SCHOLAR,Person,2/1/05
A FRIENDLY SNOWBALL FIGHT,Fun & Games,2/2/05
BUYING MUSIC DOWNLOADS,Event,2/2/05
ELECTRIC PENCIL SHARPENER,Thing,2/2/05
TEACHER OF THE YEAR,Person,2/2/05
HARRY POTTER & RON WEASLEY,Fictional Characters,2/3/05
WIRELESS INTERNET SERVICE,Thing,2/3/05
SYNCHRONIZED SWIMMING WITH SHARKS,Before & After,2/3/05
WHEN I WAS YOUR AGE,Phrase,2/3/05
A FAVORITE PAIR OF JEANS,Around The House,2/4/05
SCREAMING ROLLER COASTER RIDERS,People,2/4/05
MOM CAN I BORROW THE CAR?,Phrase,2/4/05
SUPER BOWL COMMERCIAL,Thing,2/4/05
BUILDING A SANDCASTLE,Fun & Games,2/7/05
MARRIAGE & POETIC LICENSE,Same Name,2/7/05
UNIDENTIFIED FLYING OBJECT OF MY AFFECTION,Before & After,2/7/05
CAST-IRON SKILLET,Around The House,2/7/05
THE BIRDS AND THE BEES,Living Things,2/8/05
WEDDING VOWS OF SILENCE,Before & After,2/8/05
BILLY CRYSTAL & MEG RYAN AS HARRY & SALLY,Stars & Roles,2/8/05
KNIGHT IN SHINING ARMOR,Person,2/8/05
LUCY & RICKY RICARDO,Classic Tv,2/9/05
FOR LOVE OR MONEY-BACK GUARANTEE,Before & After,2/9/05
THE BRIDGES OF MADISON COUNTY,Best Seller,2/9/05
MOTHER-IN-LAW SCHOOL GRADUATE,Before & After,2/10/05
WARM RASPBERRY SOUFFLE FOR TWO,On The Menu,2/10/05
WHAT'S GOOD FOR THE GOOSE IS GOOD FOR THE GANDER,Phrase,2/10/05
FROZEN MARGARITA WITH SALT,On The Menu,2/11/05
THE SECRETARY OF LABOR PAINS,Before & After,2/11/05
PSYCHIATRIST & PSYCHOLOGIST,Occupations,2/11/05
THROWING A BOOMERANG,Fun & Games,2/14/05
YELLOW LABRADOR RETRIEVER,Living Thing,2/14/05
A STACK OF SILVER DOLLAR PANCAKES,On The Menu,2/14/05
BRIDESMAIDS & GROOMSMEN,People,2/14/05
OCEAN'S ELEVEN & OCEAN'S TWELVE,Titles,2/15/05
ENCHANTING COASTAL VILLAGES,Places,2/15/05
POKER FACE ONLY A MOTHER COULD LOVE,Before & After,2/15/05
COMEDIAN DON RICKLES,Proper Name,2/15/05
YOU ARE THE SUNSHINE OF MY LIFE,Title,2/16/05
KNOCKOUT & FRUIT PUNCH,Same Name,2/16/05
UNCHAINED MELODY BY THE RIGHTEOUS BROTHERS,Song/Artist,2/16/05
MINNEAPOLIS & ST. PAUL,On The Map,2/16/05
BIRTHDAY SUIT YOURSELF,Before & After,2/17/05
ROCK AND ROLL RECORD COLLECTION,Around The House,2/17/05
LEONARDO DICAPRIO AS HOWARD HUGHES,Star & Role,2/17/05
ELVIS HAS LEFT THE BUILDING,Quotation,2/17/05
THE GAMBLER BY KENNY ROGERS,Song/Artist,2/18/05
LOUNGE ACT OF CONGRESS,Before & After,2/18/05
FOR MY NEXT TRICK I'LL NEED A VOLUNTEER,Show Biz,2/18/05
RATTLESNAKES AND SCORPIONS,Living Things,2/18/05
A CONFIRMED RESERVATION,Thing,2/21/05
PRESIDENT'S DAY CARE CENTER,Before & After,2/21/05
THE GREATEST THING SINCE SLICED BREAD,Phrase,2/21/05
FLAT-PANEL TELEVISION,Thing,2/21/05
BLUE MAN GROUP THERAPY,Before & After,2/22/05
LEATHER ARMCHAIR AND OTTOMAN,Around The House,2/22/05
THE FACE THAT LAUNCHED A THOUSAND SHIPS,Quotation,2/22/05
WEALTHY INDUSTRIALIST,Person,2/22/05
THE CHECK IS IN THE MAIL,Phrase,2/23/05
PRIVATE SURFING LESSONS,Fun & Games,2/23/05
MAGAZINE SUBSCRIPTION RENEWAL CARDS,Around The House,2/23/05
MATERIAL GIRL BY MADONNA,Song/Artist,2/23/05
GLASS BOTTOM BOAT CRUISE,Fun & Games,2/24/05
WEST HIGHLAND WHITE TERRIER,Living Thing,2/24/05
I'M BEGINNING TO GET THE HANG OF IT,Phrase,2/24/05
EAST LANSING MICHIGAN,On The Map,2/24/05
CRAB STUFFED MUSHROOMS,On The Menu,2/25/05
ENGLISH & DISCOVERY CHANNEL,Same Name,2/25/05
IT'S AN HONOR JUST TO BE NOMINATED,Show Biz,2/25/05
HOW THE OTHER HALF LIVES,Phrase,2/25/05
BLACK LEATHER MOTORCYCLE JACKET,Thing,2/28/05
BEER-BATTERED SHRIMP,On The Menu,2/28/05
INSURANCE ADJUSTER,Occupation,2/28/05
SURVIVOR HOST JEFF PROBST,Show Biz,3/1/05
I'M LOOKING OVER A FOUR-LEAF CLOVER,Rhyme Time,3/1/05
THE CATCHER IN THE RYE,Best Seller,3/1/05
WRINKLE-FREE KHAKI PANTS,Around The House,3/2/05
LOTTERY & MUSICAL NUMBERS,Same Name,3/2/05
CURRENT RESIDENT,Person,3/2/05
MACADAMIA COCONUT CAKE,On The Menu,3/3/05
KERMIT THE FROG IN MY THROAT,Before & After,3/3/05
TAKE TWO! OSCAR WINNER JULIA ROBERTS HAS TWINS,Headline,3/3/05
WHEN PUSH COMES TO SHOVE,Phrase,3/3/05
TRISCUITS WHEAT THINS & RITZ CRACKERS,Around The House,3/4/05
FORMER BEATLE SIR PAUL MCCARTNEY,Proper Name,3/4/05
REFRIGERATE AFTER OPENING NIGHT,Before & After,3/4/05
ENDANGERED SPECIES,Living Thing,3/4/05
SATELLITE RADIO,Show Biz,3/4/05
OUR NEIGHBORS TO THE NORTH,People,3/7/05
FRITOS CHEETOS DORITOS & TOSTITOS,Rhyme Time,3/7/05
THE WICKED WITCH OF THE WEST WING,Before & After,3/7/05
WELL ISN'T THAT SWEET,Phrase,3/7/05
TAVERN OWNER,Occupation,3/7/05
PLANETARIUM,Place,3/7/05
BLACK FOREST CHOCOLATE CAKE,On The Menu,3/8/05
KEIFER & DONALD SUTHERLAND,Family,3/8/05
YOU'RE MY GUARDIAN ANGEL HAIR PASTA,Before & After,3/8/05
MINIATURE SCHNAUZER,Living Thing,3/8/05
TOO MANY FISH IN THE SEA,Title,3/9/05
PARENT-TEACHER & WORD ASSOCIATION,Same Name,3/9/05
ANNUAL HULA FESTIVAL AND COMPETITION,Event,3/9/05
ACTRESS TERI HATCHER,Proper Name,3/9/05
AMERICAN IDOL AUDITIONS,Show Biz,3/10/05
TEQUILA SUNRISE BY THE EAGLES,Song/Artist,3/10/05
NEW YORK STOCK EXCHANGE,Landmark,3/10/05
THE RANK AND FILE,People,3/10/05
THE STARBUCKS ON THE CORNER,Place,3/11/05
FOR QUALITY ASSURANCE YOUR CALL MAY BE MONITORED,Phrase,3/11/05
LICENSED DIETICIAN,Occupation,3/11/05
A NEW TWO-PIECE BATHING SUIT,Thing,3/14/05
CAPTAIN'S & CHEESE LOG,Same Name,3/14/05
THE WORLD ACCORDING TO GARP BY JOHN IRVING,Title/Author,3/14/05
SPICY BROWN MUSTARD,Around The House,3/14/05
SWEET'N LOW EQUAL AND SPLENDA,Things,3/15/05
CATCH OF THE DAY BEFORE YESTERDAY,Before & After,3/15/05
SINGER JIMMY BUFFETT,Proper Name,3/15/05
WARM GARLIC BREAD,On The Menu,3/15/05
FRIED FISHERMAN'S PLATTER,On The Menu,3/16/05
LIVIN' LA VIDA LOCA BY RICKY MARTIN,Song/Artist,3/16/05
NEW ENGLAND PATRIOTS WIN THIRD SUPER BOWL TITLE,Headline,3/16/05
PASSING WITH FLYING COLORS,Phrase,3/16/05
LUCK BY A LADY TONIGHT,Song Lyrics,3/17/05
LIONEL & NICOLE RICHIE,Family,3/17/05
COAST GUARD UNIFORM,Thing,3/17/05
A PENNY FOR YOUR THOUGHTS,Phrase,3/18/05
PORTABLE DIGITAL MUSIC PLAYER,Thing,3/18/05
BASKETBALL SUPERSTAR SHAQUILLE O'NEILL,Proper Name,3/18/05
SLICED BEEF BRISKET,On The Menu,3/18/05
NATURE DOCUMENTARY,Show Biz,3/18/05
HISTORIC MARITIME MUSEUM,Place,3/21/05
CONDOLEEZZA RICE KRISPIES TREATS,Before & After,3/21/05
AN OUNCE OF PREVENTION IS WORTH A POUND OF CURE,Phrase,3/21/05
A RED-BLOODED AMERICAN MALE,Person,3/21/05
THE PICTURE OF HEALTH,Phrase,3/22/05
AMATEUR WILDLIFE PHOTOGRAPHER,Person,3/22/05
BOWLING LEAGUE OF WOMEN VOTERS,Before & After,3/22/05
ASIAN CHICKEN SALAD,On The Menu,3/22/05
BLARNEY & SHARON STONE,Same Name,3/23/05
SEASONAL BERRIES WITH WHIPPED CREAM,On The Menu,3/23/05
DEGREES FAHRENHEIT & DEGREES CELSIUS,Things,3/23/05
COMMUTER RAIL STATION,Place,3/23/05
SWIMMING WITH DOLPHINS,Fun & Games,3/24/05
AN APPLE A DAY KEEPS THE DOCTOR AWAY,Rhyme Time,3/24/05
TAKE OFF YOUR COAT AND STAY A WHILE,Phrase,3/24/05
THE CONSUMMATE SHOWMAN,Person,3/24/05
LEMONADE STAND BY YOUR MAN,Before & After,3/25/05
BRITAIN'S PRINCE CHARLES ANNOUNCES ENGAGEMENT,Headline,3/25/05
SUPERINTENDENT OF SCHOOLS,Occupation,3/25/05
PLYMOUTH ROCK PAPER SCISSORS,Before & After,3/28/05
COCONUT SHRIMP WITH SWEET & SOUR ORANGE SAUCE,On The Menu,3/28/05
BIRDS OF A FEATHER FLOCK TOGETHER,Rhyme Time,3/29/05
PATENT ATTORNEY,Occupation,3/29/05
PAN-FRIED NOODLES WITH BEEF,On The Menu,3/30/05
NO MORE MR. NICE GUY,Phrase,3/30/05
SHE'LL BE COMIN' 'ROUND THE MOUNTAIN DEW,Before & After,3/30/05
JACK RUSSELL TERRIER,Living Thing,3/30/05
THE FOOT OF A VOLCANO,Place,3/31/05
THE HOST WITH THE MOST,Rhyme Time,3/31/05
A TRIPLE THREAT,Person,3/31/05
A LONG-DISTANCE RELATIONSHIP,Thing,4/1/05
MICHAEL DOUGLAS & CATHERINE ZETA-JONES,Husband & Wife,4/1/05
BACON DOUBLE CHEESEBURGER,On The Menu,4/1/05
TABLE FOR TWO LEFT FEET,Before & After,4/4/05
APPLYING MORE SUNBLOCK,Event,4/4/05
STEAMY DAYTIME SOAP OPERAS,Show Biz,4/4/05
DALLAS & DYNASTY,Classic Tv,4/4/05
JUMBO LUMP CRABMEAT COCKTAIL,On The Menu,4/5/05
WHEN THE CAT'S AWAY THE MICE WILL PLAY GIN RUMMY,Before & After,4/5/05
BROTHERS- & SISTERS-IN-LAW,People,4/5/05
COLDER TONIGHT WITH A CHANCE OF SNOW CONES,Before & After,4/6/05
JOHN BELUSHI IN NATIONAL LAMPOON'S ANIMAL HOUSE,The 70'S,4/6/05
PIN THE TAIL ON THE DONKEY,Fun & Games,4/6/05
HALF OF A GRAPEFRUIT,On The Menu,4/6/05
AMERICAN ALLIGATOR,Living Thing,4/7/05
BUNGEE JUMPING TO CONCLUSIONS,Before & After,4/7/05
THE LOST WORLD,Best Seller,4/7/05
LINGUINE WITH WHITE CLAM SAUCE,On The Menu,4/8/05
JAMIE FOXX AS RAY CHARLES,Star & Role,4/8/05
SOMEDAY MY PRINCE WILL COME,Title,4/8/05
BILLY BOB THORNTON,Proper Name,4/8/05
KNITTING NEEDLES,Around The House,4/8/05
REDHEADS WITH FRECKLES,People,4/11/05
PUT YOUR REPUTATION ON THE LINE DANCING,Before & After,4/11/05
PLAINCLOTHES DETECTIVE,Occupation,4/11/05
BERNIE & FLEETWOOD MAC,Same Name,4/12/05
RAIN RAIN GO AWAY COME AGAIN SOME OTHER DAY,Rhyme Time,4/12/05
BOTTOMLESS CUP OF COFFEE,On The Menu,4/12/05
EVERLASTING LOVE HANDLES,Before & After,4/13/05
VENUS & SERENA WILLIAMS,Family,4/13/05
A POCKET SPANISH-ENGLISH DICTIONARY,Thing,4/13/05
PHILLIPS HEAD SCREWDRIVER,Around The House,4/13/05
THE OLDEST LIVING HUMAN,Person,4/13/05
THE COUNT OF MONTE CRISTO,Fictional Character,4/14/05
SETTING TONGUES WAGGING,Phrase,4/14/05
TWO-TIME ACADEMY AWARD WINNER HILARY SWANK,Show Biz,4/14/05
AUCKLAND NEW ZEALAND,On The Map,4/14/05
GRASS TENNIS COURT,Place,4/14/05
THE POWER OF POSITIVE THINKING,Best Seller,4/15/05
TAXATION WITHOUT REPRESENTATION,Phrase,4/15/05
SIGNING YOURSELF UP FOR SAILING LESSONS,Fun & Games,4/15/05
WAREHOUSE CLUB STORE,Place,4/15/05
A STRING OF PEARLS,Thing,4/15/05
PARTLY SUNNY DISPOSITION,Before & After,4/18/05
EMERGENCY MEDICAL TECHNICIAN,Occupation,4/18/05
GRILLED CHICKEN SKEWERS WITH PEANUT SAUCE,On The Menu,4/18/05
BACK IN THE SADDLE AGAIN,Title,4/18/05
SOOTHING BATH AND MASSAGE,Fun & Games,4/19/05
GIRL SCOUT TROOP LEADER,Person,4/19/05
DISHWASHING LIQUID ASSETS,Before & After,4/20/05
GOING OVER NIAGARA FALLS IN A BARREL,Event,4/20/05
HISTORICAL & HOURGLASS FIGURE,Same Name,4/21/05
WHITE-WATER RAFTING IN THE GRAND CANYON,Event,4/21/05
FACTORY OUTLET MALL,Place,4/21/05
A CASE OF THE JITTERS,Thing,4/21/05
THROW CAUTION TO THE WIND,Phrase,4/22/05
A LEISURELY AFTERNOON SWIM,Fun & Games,4/22/05
PAINTING OF DOGS PLAYING POKER,Thing,4/22/05
LIAR LIAR PANTS ON FIRE,Rhyme Time,4/22/05
A PIECE OF UNSOLICITED ADVICE,Thing,4/25/05
QUITTING TIME HEALS ALL WOUNDS,Before & After,4/25/05
A MAGICIAN NEVER REVEALS HIS SECRETS,Show Biz,4/26/05
SPICY OYSTER AND SAUSAGE JAMBALAYA,On The Menu,4/26/05
DIGITAL VIDEO RECORDER,Thing,4/26/05
SATURDAY NIGHT LIVE BAIT,Before & After,4/27/05
AIN'T NO MOUNTAIN HIGH ENOUGH,Title,4/27/05
WASHINGTON APPLES & IDAHO POTATOES,Things,4/27/05
THE FAR SIDE OF THE MOON,Place,4/27/05
MANHATTAN CLAM CHOWDER,On The Menu,4/28/05
WRITER'S & H&R BLOCK,Same Name,4/28/05
GARTH BROOKS DOMINATES THE DECADE'S MUSIC CHARTS,The 90'S,4/28/05
GEORGIA ON MY MIND,Title,4/28/05
OUTRIGGER CANOE RACE,Fun & Games,4/29/05
I'M GOING TO KANSAS CITY KANSAS CITY HERE I COME,Song Lyrics,4/29/05
LAUNDRY STAIN REMOVER,Around The House,4/29/05
ANTI-WRINKLE CREAM SODA,Before & After,5/2/05
FEATURE-LENGTH ANIMATED FILM,Show Biz,5/2/05
ASSORTED CHOCOLATES AND CARAMELS,Things,5/2/05
TEA FOR TWO AND TWO FOR TEA,Song Lyrics,5/3/05
REMOTE CONTROL TOP PANTYHOSE,Before & After,5/3/05
NECESSITY IS THE MOTHER OF INVENTION,Quotation,5/3/05
CHAPEL HILL NORTH CAROLINA,On The Map,5/4/05
KEEP YOUR ELBOWS OFF THE TABLE SAW,Before & After,5/4/05
RUGGEDLY BEAUTIFUL COASTLINE,Place,5/4/05
MY GENERATION BY THE WHO,Song/Artist,5/4/05
STOCK MARKET & BABY BOOM,Same Name,5/5/05
WAVES LAPPING AT THE SHORE,Things,5/5/05
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Best Seller,5/5/05
VOLUNTEERING ONE'S TIME,Event,5/5/05
THE SPIRIT OF ALOHA,Thing,5/6/05
SINGER & SONGWRITER SHERYL CROW,Proper Name,5/6/05
